"filename", "language", "C#", "XML", "JSON", "ASP.NET Razor", "YAML", "CSS", "JavaScript", "comment", "blank", "total"
"/home/luizh/projects/LanControl/LanControl.Core/Workers/SendDiscordWebhookWorker.cs", "C#", 30, 0, 0, 0, 0, 0, 0, 0, 3, 33
"/home/luizh/projects/LanControl/LanControl.Shared/Exceptions/DatabaseException.cs", "C#", 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/home/luizh/projects/LanControl/LanControl.Shared/Exceptions/LoginException.cs", "C#", 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/home/luizh/projects/LanControl/LanControl.Shared/Exceptions/SendDiscordWebhookException.cs", "C#", 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/home/luizh/projects/LanControl/LanControl.Shared/Exceptions/UpdateWebhookException.cs", "C#", 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/home/luizh/projects/LanControl/LanControl.Shared/LanControl.Shared.csproj", "XML", 0, 7, 0, 0, 0, 0, 0, 0, 3, 10
"/home/luizh/projects/LanControl/LanControl.Shared/ViewModels/CreateUserViewModel.cs", "C#", 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/home/luizh/projects/LanControl/LanControl.Shared/ViewModels/DiscordWebhookEmbedFieldViewModel.cs", "C#", 2, 0, 0, 0, 0, 0, 0, 0, 0, 2
"/home/luizh/projects/LanControl/LanControl.Shared/ViewModels/DiscordWebhookEmbedViewModel.cs", "C#", 4, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/home/luizh/projects/LanControl/LanControl.Shared/ViewModels/DiscordWebhookViewModel.cs", "C#", 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/home/luizh/projects/LanControl/LanControl.Shared/ViewModels/Interfaces/IConfig.cs", "C#", 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/home/luizh/projects/LanControl/LanControl.Shared/ViewModels/SendDiscordWebhookAdapterResponseViewModel.cs", "C#", 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/home/luizh/projects/LanControl/LanControl.Shared/ViewModels/ToSendDiscordWebhookViewModel.cs", "C#", 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/home/luizh/projects/LanControl/LanControl.Shared/ViewModels/UpdateWebhookUrlViewModel.cs", "C#", 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/home/luizh/projects/LanControl/LanControl.Shared/ViewModels/UserLoginViewModel.cs", "C#", 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/home/luizh/projects/LanControl/LanControl.Shared/ViewModels/UserViewModel.cs", "C#", 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/home/luizh/projects/LanControl/LanControl/Attributes/SessionAuthorizeAttribute.cs", "C#", 14, 0, 0, 0, 0, 0, 0, 0, 1, 15
"/home/luizh/projects/LanControl/LanControl/Components/Layout/AppLayout.razor", "ASP.NET Razor", 0, 0, 0, 16, 0, 0, 0, 0, 5, 21
"/home/luizh/projects/LanControl/LanControl/Components/Layout/MainLayout.razor", "ASP.NET Razor", 0, 0, 0, 10, 0, 0, 0, 0, 2, 12
"/home/luizh/projects/LanControl/LanControl/Components/Layout/MainLayout.razor.css", "CSS", 0, 0, 0, 0, 0, 13, 0, 0, 2, 15
"/home/luizh/projects/LanControl/LanControl/Components/Pages/Home.razor", "ASP.NET Razor", 0, 0, 0, 48, 0, 0, 0, 0, 5, 53
"/home/luizh/projects/LanControl/LanControl/Components/Pages/Login.razor", "ASP.NET Razor", 0, 0, 0, 10, 0, 0, 0, 0, 2, 12
"/home/luizh/projects/LanControl/LanControl/Components/_Imports.razor", "ASP.NET Razor", 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
"/home/luizh/projects/LanControl/LanControl/Controllers/Admin/AdminController.cs", "C#", 53, 0, 0, 0, 0, 0, 0, 0, 5, 58
"/home/luizh/projects/LanControl/LanControl/Controllers/Admin/PreferencesController.cs", "C#", 28, 0, 0, 0, 0, 0, 0, 0, 3, 31
"/home/luizh/projects/LanControl/LanControl/Controllers/HomeController.cs", "C#", 15, 0, 0, 0, 0, 0, 0, 0, 0, 15
"/home/luizh/projects/LanControl/LanControl/Controllers/LoginController.cs", "C#", 14, 0, 0, 0, 0, 0, 0, 0, 2, 16
"/home/luizh/projects/LanControl/LanControl/Extensions/SessionExtension.cs", "C#", 26, 0, 0, 0, 0, 0, 0, 0, 5, 31
"/home/luizh/projects/LanControl/LanControl/LanControl.csproj", "XML", 0, 22, 0, 0, 0, 0, 0, 0, 3, 25
"/home/luizh/projects/LanControl/LanControl/Program.cs", "C#", 20, 0, 0, 0, 0, 0, 0, 2, 10, 32
"/home/luizh/projects/LanControl/LanControl/Properties/launchSettings.json", "JSON", 0, 0, 41, 0, 0, 0, 0, 0, 1, 42
"/home/luizh/projects/LanControl/LanControl/appsettings.Development.json", "JSON", 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"/home/luizh/projects/LanControl/LanControl/appsettings.json", "JSON", 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"/home/luizh/projects/LanControl/LanControl/config.json", "JSON", 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"/home/luizh/projects/LanControl/LanControl/wwwroot/coolbg.css", "CSS", 0, 0, 0, 0, 0, 151, 0, 0, 27, 178
"/home/luizh/projects/LanControl/LanControl/wwwroot/css/app.css", "CSS", 0, 0, 0, 0, 0, 632, 0, 2, 106, 740
"/home/luizh/projects/LanControl/LanControl/wwwroot/js/script.js", "JavaScript", 0, 0, 0, 0, 0, 0, 129, 0, 36, 165
"Total", "-", 970, 74, 116, 185, 21, 796, 129, 12, 414, 2717
